seq_id,pred_model,bit_score,evalue,pred_class
tr|A0A0D9RDZ2|A0A0D9RDZ2_CHLSB,8ca.beta.45,107.6,3.3000000000000003e-34,beta
tr|A0A135LPI1|A0A135LPI1_PENPA,8ca.alpha.45,19.9,1.9e-07,alpha
tr|A0A1S3EUC1|A0A1S3EUC1_DIPOR,8ca.beta.45,160.0,3.4e-50,beta
tr|A0A229Z5D9|A0A229Z5D9_9EURO,8ca.alpha.45,19.4,2.7e-07,alpha
tr|A0A257JKS5|A0A257JKS5_9PROT,,,,NO_HIT
tr|A0A2G7FPR3|A0A2G7FPR3_9EURO,8ca.alpha.45,24.8,5.7e-09,alpha
tr|A0A2R9A4D6|A0A2R9A4D6_PANPA,8ca.beta.45,121.3,2.1e-38,beta
tr|A0A2R9CDB5|A0A2R9CDB5_PANPA,8ca.beta.45,107.2,4.4e-34,beta
tr|A0A397HFE0|A0A397HFE0_ASPTH,8ca.alpha.45,19.3,2.8e-07,alpha
tr|A0A3Q2I8M1|A0A3Q2I8M1_HORSE,8ca.beta.45,124.7,1.8999999999999998e-39,beta
tr|A0A452EZJ5|A0A452EZJ5_CAPHI,8ca.beta.45,107.9,2.6e-34,beta
tr|A0A452G7Y5|A0A452G7Y5_CAPHI,8ca.beta.45,136.7,4.4e-43,beta
tr|A0A663EEN0|A0A663EEN0_AQUCH,8ca.beta.45,124.9,1.7e-39,beta
tr|A0A672U871|A0A672U871_STRHB,8ca.beta.45,126.6,5.2e-40,beta
tr|A0A6I8NGZ9|A0A6I8NGZ9_ORNAN,8ca.beta.45,110.1,5.4e-35,beta
tr|A0A8C5YYS3|A0A8C5YYS3_MARMA,8ca.beta.45,151.0,1.8e-47,beta
tr|A0A8C9J6R5|A0A8C9J6R5_PANTA,,,,NO_HIT
tr|A0A8D2HKU9|A0A8D2HKU9_UROPR,8ca.beta.45,123.8,3.7999999999999996e-39,beta
tr|A0A8D2HXP4|A0A8D2HXP4_UROPR,8ca.beta.45,141.9,1.1e-44,beta
tr|A0A8H6QXK1|A0A8H6QXK1_9EURO,8ca.alpha.45,15.0,5.6e-06,alpha
tr|A0A8H6UBA7|A0A8H6UBA7_9EURO,8ca.alpha.45,16.3,2.3e-06,alpha
tr|A0A8M1PBD2|A0A8M1PBD2_DANRE,8ca.beta.45,177.5,1.4999999999999999e-55,beta
tr|A0A8V0XA98|A0A8V0XA98_CHICK,8ca.beta.45,114.7,2.2e-36,beta
tr|A0A8V1AKN8|A0A8V1AKN8_CHICK,8ca.beta.45,114.6,2.4e-36,beta
tr|A0A8X7XM43|A0A8X7XM43_POLSE,8ca.beta.45,124.2,2.7999999999999998e-39,beta
tr|A0A9Q0EG67|A0A9Q0EG67_9TELE,8ca.beta.45,78.6,2.3e-25,beta
tr|A0AAW8EXM4|A0AAW8EXM4_9MICO,8ca.alpha.45,24.2,8.9e-09,alpha
sp|A0ZSF2|MAF_PINFU,8ca.beta.45,94.6,3e-30,beta
sp|A0ZSF3|MAM_PINMA,8ca.beta.45,92.7,1.1e-29,beta
sp|A0ZSF4|MAP1_MIZYE,8ca.beta.45,67.3,6.300000000000001e-22,beta
sp|A0ZSF5|MAP2_MIZYE,8ca.beta.45,93.8,5.1000000000000004e-30,beta
sp|A0ZSF7|MAC2_CRANI,8ca.beta.45,91.5,2.7e-29,beta
tr|A6IJ26|A6IJ26_RAT,8ca.beta.45,126.8,4.6e-40,beta
sp|B0BNN3|CAH1_RAT,8ca.beta.45,158.9,7.1e-50,beta
sp|D0KWS7|DABA2_HALNC,,,,NO_HIT
sp|D0KWS8|DABB2_HALNC,,,,NO_HIT
tr|F1MGK5|F1MGK5_BOVIN,8ca.beta.45,107.5,3.5000000000000003e-34,beta
tr|F1S1C3|F1S1C3_PIG,8ca.beta.45,137.6,2.3e-43,beta
sp|F4IHR4|ATCA2_ARATH,8ca.beta.45,177.5,1.4999999999999999e-55,beta
tr|F6PNY6|F6PNY6_MACMU,8ca.beta.45,107.8,2.9e-34,beta
tr|F6ZRD8|F6ZRD8_HORSE,8ca.beta.45,106.2,8.4e-34,beta
tr|F7DJJ9|F7DJJ9_MACMU,8ca.beta.45,107.6,3.3000000000000003e-34,beta
tr|G1RMS6|G1RMS6_NOMLE,8ca.beta.45,106.9,5.5e-34,beta
tr|G3R792|G3R792_GORGO,8ca.beta.45,122.8,7.599999999999999e-39,beta
tr|G3SHA3|G3SHA3_GORGO,8ca.beta.45,107.2,4.4e-34,beta
tr|H0WAL8|H0WAL8_CAVPO,8ca.beta.45,126.1,7.4e-40,beta
tr|H0WMS5|H0WMS5_OTOGA,8ca.beta.45,124.4,2.5e-39,beta
sp|H1AAP2|COSH_THITI,8ca.alpha.45,67.6,4e-22,alpha
tr|H2R2R2|H2R2R2_PANTR,8ca.beta.45,123.6,4.2e-39,beta
tr|H2R4Z7|H2R4Z7_PANTR,8ca.beta.45,107.2,4.4e-34,beta
tr|H9GLZ6|H9GLZ6_ANOCA,8ca.beta.45,137.3,2.8999999999999997e-43,beta
tr|I3MFH1|I3MFH1_ICTTR,8ca.beta.45,120.3,4.5e-38,beta
tr|I3MKV4|I3MKV4_ICTTR,8ca.beta.45,166.0,4.8e-52,beta
tr|J4I8F5|J4I8F5_9APHY,8ca.alpha.45,92.7,8.1e-30,alpha
tr|K7FTJ3|K7FTJ3_PELSI,8ca.beta.45,143.3,4.2e-45,beta
tr|M3Y668|M3Y668_MUSPF,8ca.beta.45,106.0,1e-33,beta
sp|O75493|CAH11_HUMAN,8ca.beta.45,72.8,1.3e-23,beta
sp|O85043|CSS4A_HALNC,,,,NO_HIT
sp|O85044|CSS4B_HALNC,,,,NO_HIT
sp|P00916|CAH1_MACMU,8ca.beta.45,171.9,7.8e-54,beta
sp|P04195|CAHH_VACCW,8ca.beta.45,53.7,9.3e-18,beta
sp|P07450|CAH3_HORSE,8ca.beta.45,148.8,8.799999999999999e-47,beta
sp|P08060|CAH6_SHEEP,8ca.beta.45,132.4,8.9e-42,beta
sp|P0ABE9|CYNT_ECOLI,8ca.alpha.45,31.1,6.5e-11,alpha
sp|P0DO50|NEC1_NESMA,8ca.beta.45,198.7,5.1e-62,beta
sp|P13634|CAH1_MOUSE,8ca.beta.45,156.4,4.2999999999999994e-49,beta
sp|P18915|CAH6_BOVIN,8ca.beta.45,126.1,7.6e-40,beta
sp|P24258|CAH2_CHLRE,8ca.beta.45,144.0,2.5e-45,beta
sp|P35217|CAH1_MACNE,8ca.beta.45,172.8,4.1e-54,beta
sp|P43165|CAH5A_RAT,8ca.beta.45,138.6,1.1e-43,beta
sp|P45548|PHP_ECOLI,,,,NO_HIT
sp|P45686|RBS_HALNC,,,,NO_HIT
sp|P45688|CSOSC_HALNC,,,,NO_HIT
sp|P45690|CSOSB_HALNC,,,,NO_HIT
sp|P48282|CAH1_SHEEP,8ca.beta.45,172.6,4.7e-54,beta
sp|P48283|CAH4_RABIT,8ca.beta.45,111.8,1.6e-35,beta
sp|P54205|RBL_SYNY3,,,,NO_HIT
sp|P61517|CAN_ECOLI,8ca.alpha.45,22.9,2.2e-08,alpha
sp|P83299|CAH1_CHIHA,8ca.beta.45,160.1,3.1e-50,beta
sp|Q1LZA1|CAH1_BOVIN,8ca.beta.45,183.3,2.7e-57,beta
sp|Q29545|ICA_PIG,,,,NO_HIT
sp|Q31HD6|CSOCA_HYDCU,,,,NO_HIT
sp|Q31NB2|RBS_SYNE7,,,,NO_HIT
sp|Q50940|CAH_NEIGO,8ca.beta.45,326.9,4.1e-101,beta
sp|Q55074|PANCY_SYNY3,,,,NO_HIT
sp|Q5KW03|CAG_GEOKA,8ca.gamma.45,211.3,3.1000000000000003e-66,gamma
sp|Q5S1S4|CAH3_PIG,8ca.beta.45,148.3,1.2999999999999999e-46,beta
tr|Q6PFU7|Q6PFU7_DANRE,8ca.beta.45,176.7,2.6e-55,beta
tr|Q6R4A1|Q6R4A1_ONCMY,8ca.beta.45,121.9,1.4e-38,beta
sp|Q7M316|CAH1_GORGO,8ca.beta.45,167.4,1.9e-52,beta
sp|Q7M317|CAH1_PANTR,8ca.beta.45,167.1,2.3e-52,beta
tr|Q7SY46|Q7SY46_DANRE,,,,NO_HIT
sp|Q7TTT8|CSOCA_PARMW,,,,NO_HIT
sp|Q8CI85|CAH12_MOUSE,8ca.beta.45,145.7,7.7e-46,beta
sp|Q8HY33|CAH1_MONDO,8ca.beta.45,169.6,4e-53,beta
sp|Q8HY34|HBA_MONDO,,,,NO_HIT
sp|Q8YT18|MICAH_NOSS1,8ca.iota.45,359.3,2.4e-111,iota
sp|Q92051|CAHZ_DANRE,8ca.beta.45,171.3,1.1999999999999998e-53,beta
sp|Q94AU7|GCA3_ARATH,8ca.gamma.45,188.3,3.7000000000000004e-59,gamma
sp|Q95323|CAH4_BOVIN,8ca.beta.45,132.4,9.1e-42,beta
sp|Q98936|PTPRG_CHICK,8ca.beta.45,111.6,2e-35,beta
sp|Q99N23|CAH15_MOUSE,8ca.beta.45,100.7,4.2000000000000004e-32,beta
sp|Q9C6F5|BCA6_ARATH,8ca.alpha.45,32.7,2.1e-11,alpha
sp|Q9ERQ8|CAH7_MOUSE,8ca.beta.45,165.4,7.4e-52,beta
sp|Q9FM99|ATCA8_ARATH,8ca.beta.45,204.2,1.1e-63,beta
sp|Q9FWR5|GCA1_ARATH,8ca.gamma.45,212.4,1.5e-66,gamma
sp|Q9FYE3|ATCA3_ARATH,8ca.beta.45,188.0,9.7e-59,beta
sp|Q9MZ30|CAH12_RABIT,8ca.beta.45,142.5,7.3e-45,beta
sp|Q9NL38|MA66_PINMA,8ca.beta.45,79.7,1.0999999999999999e-25,beta
sp|Q9QZA0|CAH5B_MOUSE,8ca.beta.45,143.9,2.7000000000000002e-45,beta
sp|S5FT07|CS2H1_ACITH,8ca.alpha.45,89.0,1.1000000000000002e-28,alpha
tr|A0A022WC76|A0A022WC76_TRIRU,8ca.alpha.45,32.2,3e-11,alpha
tr|A0A022Y429|A0A022Y429_TRISD,8ca.alpha.45,32.2,3e-11,alpha
tr|A0A045J8T7|A0A045J8T7_MYCTX,8ca.alpha.45,28.0,5.9e-10,alpha
tr|A0A060W356|A0A060W356_ONCMY,8ca.beta.45,124.8,1.8999999999999998e-39,beta
tr|A0A060X6S9|A0A060X6S9_ONCMY,8ca.beta.45,137.5,2.3999999999999998e-43,beta
tr|A0A062WTM2|A0A062WTM2_9ACTN,,,,NO_HIT
tr|A0A067N124|A0A067N124_BOTB1,8ca.alpha.45,24.5,6.9e-09,alpha
tr|A0A072PCS1|A0A072PCS1_9EURO,8ca.alpha.45,34.2,7.3e-12,alpha
tr|A0A076N5F4|A0A076N5F4_AMYME,8ca.alpha.45,17.8,8e-07,alpha
tr|A0A078GF05|A0A078GF05_BRANA,8ca.beta.45,205.7,3.8e-64,beta
tr|A0A078HBW5|A0A078HBW5_BRANA,8ca.beta.45,175.2,7.6e-55,beta
tr|A0A078JC34|A0A078JC34_BRANA,8ca.beta.45,176.3,3.4e-55,beta
tr|A0A087Y8B6|A0A087Y8B6_POEFO,8ca.beta.45,133.3,4.8e-42,beta
tr|A0A091DTV4|A0A091DTV4_FUKDA,8ca.beta.45,299.0,1.3e-92,beta
tr|A0A094CRN1|A0A094CRN1_9PEZI,8ca.alpha.45,31.5,4.9e-11,alpha
tr|A0A096MQ68|A0A096MQ68_PAPAN,8ca.beta.45,107.6,3.3000000000000003e-34,beta
tr|A0A096MZB4|A0A096MZB4_PAPAN,8ca.beta.45,175.5,6.0999999999999994e-55,beta
tr|A0A096NDF1|A0A096NDF1_PAPAN,8ca.beta.45,167.5,1.8e-52,beta
tr|A0A096P176|A0A096P176_PAPAN,8ca.beta.45,123.5,4.5e-39,beta
tr|A0A096P503|A0A096P503_PAPAN,8ca.beta.45,120.1,4.8e-38,beta
tr|A0A098LJ32|A0A098LJ32_9BACT,8ca.alpha.45,23.1,1.9e-08,alpha
tr|A0A099P142|A0A099P142_PICKU,8ca.alpha.45,54.9,3.3e-18,alpha
tr|A0A0A0VDH2|A0A0A0VDH2_CHEQU,,,,NO_HIT
tr|A0A0A0VGS1|A0A0A0VGS1_CHEQU,,,,NO_HIT
tr|A0A0A1V4J2|A0A0A1V4J2_9HYPO,8ca.alpha.45,27.5,8.3e-10,alpha
tr|A0A0A2LGP4|A0A0A2LGP4_PENIT,8ca.alpha.45,23.9,1.1e-08,alpha
tr|A0A0A8WW76|A0A0A8WW76_9BACT,8ca.alpha.45,36.5,1.5e-12,alpha
tr|A0A0A9YFG2|A0A0A9YFG2_LYGHE,8ca.beta.45,108.6,1.6e-34,beta
tr|A0A0A9YK01|A0A0A9YK01_LYGHE,8ca.beta.45,95.3,1.8e-30,beta
tr|A0A0B0N2A4|A0A0B0N2A4_GOSAR,8ca.beta.45,205.6,4.2e-64,beta
tr|A0A0B0NRT9|A0A0B0NRT9_GOSAR,8ca.beta.45,198.7,5.2e-62,beta
tr|A0A0B4GKE3|A0A0B4GKE3_METAF,8ca.alpha.45,27.5,8.3e-10,alpha
tr|A0A0B4LGX6|A0A0B4LGX6_DROME,8ca.alpha.45,12.6,3.1e-05,alpha
tr|A0A0C3CLP4|A0A0C3CLP4_HEBCY,8ca.alpha.45,19.4,2.5e-07,alpha
tr|A0A0C4DQF6|A0A0C4DQF6_MAGP6,8ca.alpha.45,24.2,8.6e-09,alpha
tr|A0A0D1YBB6|A0A0D1YBB6_EXOME,8ca.alpha.45,31.6,4.5e-11,alpha
tr|A0A0D2EXR4|A0A0D2EXR4_CLAB1,8ca.alpha.45,29.6,1.9e-10,alpha
tr|A0A0D2MFK3|A0A0D2MFK3_GOSRA,8ca.beta.45,207.0,1.5e-64,beta
tr|A0A0D2TN66|A0A0D2TN66_GOSRA,8ca.beta.45,193.7,1.7e-60,beta
tr|A0A0D2XRW0|A0A0D2XRW0_FUSOF,8ca.alpha.45,31.4,5.3e-11,alpha
tr|A0A0D3B4B0|A0A0D3B4B0_BRAOL,8ca.beta.45,205.7,3.8e-64,beta
tr|A0A0D8BJC8|A0A0D8BJC8_9ACTN,,,,NO_HIT
tr|A0A0D9QX60|A0A0D9QX60_CHLSB,8ca.beta.45,168.6,7.9e-53,beta
tr|A0A0D9R122|A0A0D9R122_CHLSB,8ca.beta.45,123.2,5.4999999999999995e-39,beta
tr|A0A0D9RDE4|A0A0D9RDE4_CHLSB,8ca.beta.45,123.7,4.1e-39,beta
tr|A0A0D9RHZ7|A0A0D9RHZ7_CHLSB,8ca.beta.45,71.0,4.7e-23,beta
tr|A0A0D9RL35|A0A0D9RL35_CHLSB,8ca.beta.45,166.8,2.8e-52,beta
tr|A0A0D9RL40|A0A0D9RL40_CHLSB,8ca.beta.45,151.5,1.2999999999999998e-47,beta
tr|A0A0D9RL45|A0A0D9RL45_CHLSB,8ca.beta.45,167.0,2.5e-52,beta
tr|A0A0D9S8Q5|A0A0D9S8Q5_CHLSB,8ca.beta.45,128.5,1.3e-40,beta
tr|A0A0E8TWC7|A0A0E8TWC7_MYCTX,8ca.alpha.45,22.3,3.3e-08,alpha
tr|A0A0F4YV47|A0A0F4YV47_TALEM,8ca.alpha.45,33.7,1.1e-11,alpha
tr|A0A0F7G7L3|A0A0F7G7L3_CHEQU,,,,NO_HIT
tr|A0A0F9XP45|A0A0F9XP45_TRIHA,8ca.alpha.45,23.4,1.5e-08,alpha
tr|A0A0G2K561|A0A0G2K561_RAT,8ca.beta.45,87.7,3.7e-28,beta
tr|A0A0G4GJE8|A0A0G4GJE8_9ALVE,8ca.alpha.45,18.1,6.3e-07,alpha
tr|A0A0G4LPK9|A0A0G4LPK9_VERLO,8ca.alpha.45,16.3,2.2e-06,alpha
tr|A0A0G4LRL2|A0A0G4LRL2_VERLO,8ca.alpha.45,23.2,1.7e-08,alpha
tr|A0A0H2UHB3|A0A0H2UHB3_RAT,8ca.beta.45,117.9,2.3e-37,beta
tr|A0A0H3EA44|A0A0H3EA44_BIFBP,8ca.alpha.45,29.2,2.6e-10,alpha
tr|A0A0H5C5I8|A0A0H5C5I8_CYBJN,8ca.alpha.45,23.8,1.2e-08,alpha
tr|A0A0H5NF89|A0A0H5NF89_NOCFR,8ca.alpha.45,18.0,7e-07,alpha
tr|A0A0J0XX05|A0A0J0XX05_9TREE,8ca.alpha.45,25.2,4.2e-09,alpha
tr|A0A0K1JII8|A0A0K1JII8_9MICO,8ca.alpha.45,22.2,3.4e-08,alpha
tr|A0A0L0N001|A0A0L0N001_TOLOC,8ca.alpha.45,27.4,9.1e-10,alpha
tr|A0A0L0P1W2|A0A0L0P1W2_CANAR,8ca.alpha.45,18.1,6.6e-07,alpha
tr|A0A0M2HDZ3|A0A0M2HDZ3_MICTR,8ca.alpha.45,28.3,4.9e-10,alpha
tr|A0A0M4Q843|A0A0M4Q843_9PSEU,8ca.alpha.45,16.3,2.3e-06,alpha
tr|A0A0M4QQK6|A0A0M4QQK6_9PSEU,8ca.alpha.45,16.2,2.4e-06,alpha
tr|A0A0M8XQE3|A0A0M8XQE3_9ACTN,8ca.alpha.45,18.8,4e-07,alpha
tr|A0A0M8YDZ0|A0A0M8YDZ0_9PSEU,8ca.alpha.45,25.3,4.1e-09,alpha
tr|A0A0M9EVQ9|A0A0M9EVQ9_FUSLA,8ca.alpha.45,27.1,1.1e-09,alpha
tr|A0A0N8WJI8|A0A0N8WJI8_9ACTN,,,,NO_HIT
tr|A0A0P0S939|A0A0P0S939_9PSEU,8ca.alpha.45,11.4,7.5e-05,alpha
tr|A0A0P6IYD3|A0A0P6IYD3_HETGA,8ca.beta.45,164.9,1.1e-51,beta
tr|A0A0R4J0W4|A0A0R4J0W4_MOUSE,8ca.beta.45,145.7,7.7e-46,beta
tr|A0A0S2Z3D0|A0A0S2Z3D0_HUMAN,8ca.beta.45,122.3,1.1e-38,beta
tr|A0A0S4QGJ6|A0A0S4QGJ6_9ACTN,8ca.alpha.45,12.4,3.7e-05,alpha
tr|A0A0T9VAG7|A0A0T9VAG7_MYCTX,8ca.alpha.45,22.3,3.3e-08,alpha
tr|A0A0W7VQC8|A0A0W7VQC8_9HYPO,8ca.alpha.45,26.2,2.2e-09,alpha
tr|A0A100IRY8|A0A100IRY8_ASPNG,8ca.alpha.45,22.8,2.3e-08,alpha
tr|A0A117DXQ5|A0A117DXQ5_ASPNG,8ca.beta.45,126.1,7.4e-40,beta
tr|A0A136IVJ9|A0A136IVJ9_9PEZI,8ca.alpha.45,26.8,1.3e-09,alpha
tr|A0A146PJU9|A0A146PJU9_FUNHE,8ca.beta.45,128.6,1.3e-40,beta
tr|A0A147KIC2|A0A147KIC2_THECS,8ca.alpha.45,28.6,3.8e-10,alpha
tr|A0A151GMI7|A0A151GMI7_DRECN,8ca.alpha.45,28.6,3.7e-10,alpha
tr|A0A151N5U6|A0A151N5U6_ALLMI,8ca.beta.45,139.7,5.1e-44,beta
tr|A0A161VZB3|A0A161VZB3_9PEZI,8ca.alpha.45,25.1,4.6e-09,alpha
tr|A0A162I105|A0A162I105_9EURO,8ca.alpha.45,37.0,1e-12,alpha
tr|A0A162JQL4|A0A162JQL4_METRR,8ca.alpha.45,28.0,5.8e-10,alpha
tr|A0A162PYV0|A0A162PYV0_9PEZI,8ca.alpha.45,27.4,8.9e-10,alpha
tr|A0A166P2P1|A0A166P2P1_9PEZI,8ca.alpha.45,24.9,5.2e-09,alpha
tr|A0A166SV71|A0A166SV71_9ACTN,8ca.alpha.45,13.6,1.5e-05,alpha
tr|A0A167R9K7|A0A167R9K7_PENCH,8ca.alpha.45,24.5,6.9e-09,alpha
tr|A0A171C5R8|A0A171C5R8_9ACTN,8ca.alpha.45,19.3,2.7e-07,alpha
tr|A0A178CIL3|A0A178CIL3_9EURO,8ca.alpha.45,30.0,1.4e-10,alpha
tr|A0A179FYM5|A0A179FYM5_METCM,8ca.alpha.45,28.1,5.3e-10,alpha
tr|A0A179GSI7|A0A179GSI7_PURLI,8ca.alpha.45,28.7,3.5e-10,alpha
tr|A0A193C3W5|A0A193C3W5_AMYOR,8ca.alpha.45,21.0,8.3e-08,alpha
tr|A0A194W099|A0A194W099_CYTMA,8ca.alpha.45,24.7,5.9e-09,alpha
